File,Section,Flags,Clauses 
2MKT Verwaltungs GmbH anno.jsonl,GESELLSCHAFTSVERTRAG,,TITEL
2MKT Verwaltungs GmbH anno.jsonl,"§ 1 Firma, Sitz, Geschäftsjahr (1) Die Firma der Gesellschaft lautet: 2MKT Verwaltungs GmbH (2) Sitz der Gesellschaft ist Hamburg. (3) Das Geschäftsjahr ist das Kalenderjahr.","RED FLAG, Orange Flag, Orange Flag, RED FLAG","Firma, Firma, Sitz, Geschäftsjahr, Geschäftsjahr, Sitz"
2MKT Verwaltungs GmbH anno.jsonl,"§ 2 Gegenstand des Unternehmens (1) Gegenstand des Unternehmens ist die Übernahme der persönlichen Haftung bei Personenhandelsgesellschaften. (2) Die Gesellschaft ist zur Vornahme aller Geschäfte berechtigt, die den Gesellschaftszweck unmittelbar oder mittelbar zu fördern geeignet sind. (3) Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, sich an ihnen beteiligen oder ihre Geschäfte führen. 
Die Gesellschaft darf ferner Zweigniederlassungen errichten.",RED FLAG,"Gegenstand, Gegenstand"
2MKT Verwaltungs GmbH anno.jsonl,"§ 3 Stammkapital (1) Das Stammkapital der Gesellschaft beträgt € 25.000,00 (i.W.: EURO fünfundzwanzigtausend). (2) Das Stammkapital ist eingeteilt in 25.000 Geschäftsanteile mit den Nummern 1 bis 25.000 im Nennbetrag von jeweils € 1,00. (3) Hiervon übernehmen a) die Gesellschaft türkischen Rechts in Firma ZMT SOGUTMA SISTEMLERI INSAAT OTOMOTIV TURIZM GIDA SANAYI VE TICARET LIMITED SIRKETI mit dem Sitz in Eyüpsultan / Istanbul, eingetragen im Handelsregister Istanbul (Türkei), Registernummer: , die Geschäftsanteile mit den Nummern 1 bis 12.500   b) die Einzelfirma türkischen Rechts MESUT CAMBAZOGLU – KUTUP SOGUTMA, Inhaber Mesut Cambazoglu, mit dem Sitz in Adapazari / Sakarya (Türkei), eingetragen im Handelsregister Sakarya (Türkei), Registernummer: 22590, die Geschäftsanteile mit den Nummern 12.501 bis 25.000. (4) Jeder Geschäftsanteil ist in Höhe von 50 % sofort in Geld zu leisten.",RED FLAG,"Stammkapital, Stammkapital"
2MKT Verwaltungs GmbH anno.jsonl,"§ 4 Veräußerung und Belastung von Geschäftsanteilen (1) Zur Veräußerung oder Belastung von Geschäftsanteilen (einschließlich der Begründung von Treuhandverhältnissen, Unterbeteiligungen oder stillen Gesellschaften sowie anderen vergleichbaren Rechtsverhältnissen) ist die schriftliche Zustimmung aller Gesellschafter erforderlich. (2) Wird die Zustimmung verweigert, steht den Gesellschaftern im Verhältnis ihrer Beteiligung und nach ihnen der Gesellschaft ein zustimmungsfreies Ankaufsrecht zu gleichen Konditionen zu, dessen Ausübungsfrist einen Monat beträgt. 
Etwaige unteilbare Spitzenbeträge stehen dem Gesellschafter mit der geringsten Beteiligung zu.",Green Flag,"Veräußerung, Veräußerung"
2MKT Verwaltungs GmbH anno.jsonl,"§ 5 Geschäftsführung, Vertretung (1) Die Gesellschaft hat einen oder mehrere Geschäftsführer. 
Sind mehrere Geschäftsführer bestellt, so wird die Gesellschaft durch zwei Geschäftsführer oder durch einen Geschäftsführer in Gemeinschaft mit einem Prokuristen vertreten. 
Ist nur ein Geschäftsführer bestellt, vertritt dieser die Gesellschaft allein. (2) Durch Gesellschafterbeschluss kann allen oder einzelnen Geschäftsführern Einzelvertretungsbefugnis und/oder Befreiung von den Beschränkungen des § 181 BGB erteilt werden. (3) Abs. 1 und 2 gelten für Liquidatoren entsprechend.",Orange Flag,"Geschäftsführung, Geschäftsführung, Geschäftsführung, Vertretung, Vertretung, Vertretung"
2MKT Verwaltungs GmbH anno.jsonl,"§ 6 Gesellschafterversammlung (1) Eine ordentliche Gesellschafterversammlung findet jährlich einmal innerhalb der gesetzlichen Frist statt. 
Darüber hinaus sind außerordentliche Versammlungen zu berufen, wenn dies im Interesse der Gesellschaft erforderlich ist oder von Gesellschaftern, die zusammen mindestens 10 % des Stammkapitals innehaben, verlangt wird. (2) Die Einberufung erfolgt durch die Geschäftsführer in vertretungsberechtigter Zahl unter Mitteilung der Tagesordnung mittels eingeschriebenen Briefes bei Einhaltung einer Frist von vier Wochen, nicht eingerechnet den Tag der Absendung der   Ladung und den Tag der Versammlung. 
Bei Eilbedürftigkeit kann die Einberufung mit angemessen kürzerer Frist, die jedoch eine Woche nicht unterschreiten darf, erfolgen. (3) Die Gesellschafterversammlung ist beschlussfähig, wenn mindestens drei Viertel des stimmberechtigten Stammkapitals anwesend bzw. vertreten sind. 
Ist das nicht der Fall, so ist innerhalb einer Woche mit einer Einladungsfrist von einer Woche eine neue Versammlung mit gleicher Tagesordnung einzuberufen, welche dann ohne Rücksicht auf das vertretene Stammkapital beschlussfähig ist. 
Darauf ist in der Ladung hinzuweisen. (4) Jeder Gesellschafter kann sich in der Gesellschafterversammlung durch einen Mitgesellschafter oder einen zur Berufsverschwiegenheit verpflichteten Angehörigen der rechts- und steuerberatenden Berufe aufgrund in Textform erteilter Vollmacht vertreten lassen. 
Er darf eine solche Person auch als Beistand hinzuziehen. (5) Beschlüsse können auch ohne Einhaltung der Einberufungsvoraussetzungen und darüber hinaus auch schriftlich, per Telefax oder im Wege elektronischer Datenübermittlung gefasst werden, wenn alle Gesellschafter diesem Verfahren zustimmen.",Orange Flag,"Gesellschafterversammlung, Gesellschafterversammlung"
2MKT Verwaltungs GmbH anno.jsonl,"§ 7 Gesellschafterbeschlüsse (1) Gesellschafterbeschlüsse werden mit einfacher Mehrheit der abgegebenen Stimmen gefasst, soweit nicht durch Gesetz oder Vertrag eine andere Mehrheit vorgeschrieben ist. (2) Jeder Euro eines Geschäftsanteils gewährt eine Stimme. 
Unterschiedliche Stimmabgabe durch einen Gesellschafter ist zulässig. (3) Sämtliche Gesellschafterbeschlüsse sind zu Beweiszwecken zu protokollieren. 
Die Gesellschafter erhalten Abschriften. (4) Die Anfechtung von Gesellschafterbeschlüssen ist nur durch Klageerhebung innerhalb einer Frist von zwei Monaten nach Absendung des Beschlussprotokolls zulässig.",Green Flag,"Gesellschafterbeschlüsse, Gesellschafterbeschlüsse"
2MKT Verwaltungs GmbH anno.jsonl,§ 8 Gewinnverteilung (1) Die Gewinnverteilung erfolgt grundsätzlich nach dem Verhältnis der Geschäftsanteile. (2) Mit Zustimmung der betroffenen Gesellschafter kann alljährlich eine abweichende Gewinnverteilung beschlossen werden.,Green Flag,"Gewinnverteilung, Gewinnverteilung"
2MKT Verwaltungs GmbH anno.jsonl,"§ 9 Einziehung (1) Die Einziehung von Geschäftsanteilen mit Zustimmung des betreffenden Gesellschafters ist stets zulässig. (2) Die Zwangseinziehung von Geschäftsanteilen ist zulässig, wenn ein wichtiger Grund vorliegt. 
Sie wird mit der Mitteilung des Einziehungsbeschlusses an den betreffenden Gesellschafter wirksam. 
Dieser hat bei der Beschlussfassung kein Stimmrecht. 
Als ein wichtiger Grund sind insbesondere anzusehen: a) grobe Verletzungen der Gesellschafterpflichten durch einen Gesellschafter, b) die Pfändung eines Geschäftsanteils, sofern sie nicht innerhalb von zwei Monaten wieder aufgehoben wird, sowie c) die Eröffnung des Insolvenzverfahrens über das Vermögen eines Gesellschafters, die Stellung eines insolvenzrechtlichen Eigenantrags und die Ablehnung der Eröffnung des Insolvenzverfahrens mangels Masse. (3) Eingezogene Anteile sind neu zu bilden oder bestehende Anteile entsprechend aufzustocken. (4) Kann nach diesem Vertrag die Einziehung von Geschäftsanteilen beschlossen werden, so kann die Gesellschafterversammlung anstelle der Einziehung beschließen, dass der jeweilige Geschäftsanteil ganz oder geteilt an die Gesellschaft, an einen oder mehrere Gesellschafter oder an von der Gesellschaft zu benennende Dritte abzutreten ist. (5) Dem ausscheidenden Gesellschafter steht eine Abfindung zu.",Green Flag,"Einziehung, Einziehung"
